Tempo de Entrega (horas),Peso do Pedido (kg),Distância Percorrida (km),Prioridade
20.96226151394387,18.75647599162911,26.32780395061547,Média
23.369317926967877,42.536554227794234,137.7364481424417,Média
20.576968206476824,4.466859898120578,144.3124575916226,Alta
28.64357374296727,1.473299201074556,189.78230189545346,Média
14.777994829748609,41.68672992562119,343.6231605992165,Baixa
21.664987879614458,29.4716434005323,349.0027830496186,Média
35.46245171575775,42.24632757747989,22.490780073865594,Alta
26.44405027197789,35.04791730184579,299.028394433227,Média
27.551334953303318,31.848415091666094,30.446656295871133,Baixa
29.27767221612075,29.9490363696153,122.13216083051944,Baixa
24.270365501728925,8.588234461982832,463.39154185921035,Média
25.289767081709858,22.353640182849443,352.1698842110016,Média
26.941408248515884,11.776685739310869,237.8726664787356,Média
28.42622119306322,32.15915037501236,249.34140308053387,Alta
18.914964878965534,48.11868286535466,319.033336906267,Média
23.331534843583363,26.54109347072491,409.97869671286026,Alta
21.8090724933383,14.804262760093657,124.83510589561976,Média
26.467217472140856,48.09429713587498,388.453294173059,Média
23.004954400758432,30.942775262375694,282.26247885033445,Média
17.625081963389263,32.14961089620529,239.81785700853234,Média
25.467470772189365,30.272434361135094,128.30532210728683,Média
24.54475155913331,24.174269378907823,23.2049543575207,Média
24.158633929295174,28.147805858496653,101.65600052259596,Baixa
30.36319931514729,14.263458925893671,12.000513452765539,Baixa
29.357239497236808,0.7721007677817562,132.28071020928962,Baixa
26.07909006079287,20.3855348934526,334.83508725316733,Baixa
31.753396156884317,16.314360846747103,404.6874322856435,Baixa
22.443105415848592,18.94410878673673,488.64543654824826,Média
17.103800463211265,24.467469807012876,474.09607373872586,Média
30.857043933382748,2.1250190289764377,456.58782098137755,Média
24.138558261402398,26.962719015423012,203.64087677447208,Alta
22.39800211628201,34.32789156204099,179.03650607815197,Média
19.769147974584307,31.69747576475009,327.90770734925906,Média
21.83285540296888,7.483942039514445,424.5094940694796,Baixa
17.314827480743006,17.321408370306155,186.7897770039238,Baixa
25.045860853367376,4.716548302302309,481.9917049425139,Alta
16.878393491254727,13.009972739536597,236.8992996138381,Média
21.2326157362969,6.297388465096646,358.96146381733087,Alta
24.373993219821,25.008119290686007,324.8508538313133,Média
21.47190083265208,10.6241362127856,44.631105742324955,Média
29.262038919342963,24.86593386363585,18.440393588723317,Média
28.857002038447945,22.419712918360005,116.69672388456706,Média
24.384157689994552,15.917844144831333,217.42684871998736,Média
21.82499612447233,28.29588956265321,127.73760551616465,Alta
26.764971990421856,25.91385267070252,412.89712175048123,Baixa
25.33358153015941,22.504417136162292,272.44020248154663,Alta
24.044947041887784,3.297092303080117,391.36656568413076,Média
27.20551376374577,10.213205188961856,185.02850198201438,Média
23.11146421167487,32.66034197033978,490.8167819463684,Alta
27.481388058193012,38.71769513617647,473.91859999503856,Alta
18.056374517189166,20.88908557503162,382.86226729736023,Média
22.341515723136162,3.244934097913302,434.27956817995437,Média
24.150380690621677,8.729942274766808,385.8935019324902,Média
18.460424139453288,48.967941132035996,38.63836630047675,Média
21.2503755092613,9.18422217414564,412.4840882368735,Média
13.835452203707254,31.05677985550702,269.54642454282214,Média
31.03958901780083,49.06675106927032,91.47291722459771,Média
