Valor do Pedido (R$),Número de Itens,Tempo no Site (min),Região
169.6226151394387,6,9.373595211890004,Sudeste
193.69317926967878,9,12.662165680519875,Sul
165.76968206476823,5,14.762934565468768,Nordeste
246.4357374296727,6,3.2976500989109474,Sudeste
107.77994829748609,2,10.208421306060337,Norte
176.64987879614455,6,11.771815493325269,Norte
314.62451715757754,2,6.731685828835776,Centro-Oeste
224.44050271977892,9,4.994793990317307,Centro-Oeste
235.5133495330332,7,6.143062990461506,Sul
252.7767221612075,9,12.98986972646593,Sul
202.70365501728926,3,7.541186046070685,Nordeste
212.89767081709857,8,11.060421797360195,Sudeste
229.41408248515881,7,5.119711947160168,Norte
244.26221193063222,8,10.355468614792413,Norte
149.14964878965537,4,9.312564672226234,Nordeste
193.31534843583364,7,3.974760164124076,Nordeste
178.09072493338297,9,12.572106607656886,Centro-Oeste
224.67217472140857,5,2.7160003141036375,Nordeste
190.04954400758433,8,14.108414627231662,Centro-Oeste
136.25081963389266,9,9.26642461649238,Sudeste
214.67470772189367,9,11.638618610247958,Norte
205.4475155913331,5,3.01923931969053,Sul
201.58633929295172,7,12.059412402759001,Nordeste
263.6319931514729,5,11.369089760915921,Sudeste
253.57239497236807,6,2.6765843233271718,Nordeste
220.79090060792868,5,11.625702994686453,Centro-Oeste
277.5339615688432,6,12.945771060002116,Sul
184.43105415848595,7,7.872007692425559,Centro-Oeste
131.03800463211263,7,12.76936600567511,Sul
268.5704393338275,4,4.025728388220374,Norte
201.38558261402397,2,8.284172404864748,Sudeste
183.98002116282012,1,2.5024155058038193,Centro-Oeste
157.69147974584305,6,9.201441640596403,Nordeste
178.3285540296888,7,13.469325489932434,Sudeste
133.14827480743003,4,13.463683735650967,Sudeste
210.45860853367375,4,13.34214136293055,Sul
128.78393491254724,2,7.233281982133729,Centro-Oeste
172.32615736296898,4,9.708393318813101,Centro-Oeste
203.73993219821,7,13.411617670948278,Sul
174.71900832652076,7,11.54124724407229,Centro-Oeste
252.62038919342965,1,10.716452415361337,Norte
248.57002038447945,2,9.452257943397042,Norte
203.84157689994552,2,6.07959137894917,Norte
178.2499612447233,6,4.493938902434403,Nordeste
227.64971990421856,1,10.146769245185665,Norte
213.3358153015941,4,8.891013657845818,Centro-Oeste
200.44947041887784,2,14.99948779347188,Norte
232.0551376374577,6,14.71692339640861,Norte
191.11464211674868,6,3.310537343330771,Sudeste
234.8138805819301,7,12.072069162216637,Sul
140.56374517189164,8,4.700458642910126,Sudeste
183.4151572313616,9,2.012910653274134,Nordeste
201.50380690621677,9,13.578941808886206,Norte
144.60424139453286,1,2.52057748327182,Sudeste
172.503755092613,1,6.376557930620935,Norte
98.35452203707253,8,5.610210757474391,Sul
270.3958901780083,7,11.977200637208867,Norte
231.65541317002214,7,2.5509243702282127,Norte
310.6373442683312,5,6.677061163068721,Sudeste
173.6698860638285,9,6.266533734006076,Sudeste
227.14408393721376,2,10.816357457741436,Sul
195.77601479702108,2,10.101417460049564,Norte
264.60075077155494,3,13.983323343992021,Nordeste
191.16447154864673,1,2.4358395079853894,Centro-Oeste
284.38935759949493,7,7.190386283544531,Sul
